Name,CAS,molarweight,p_sat_AAD,p_sat_AAD_outliers,rho_liq_AAD,rho_liq_sat_AAD,rho_liq_sp_AAD,rho_vap_AAD_outliers,p_sat_n_points,p_sat_n_points_outliers,rho_liq_n_points,rho_liq_sat_n_points,rho_liq_sp_n_points,rho_vap_n_points_outliers,,
"1,1,2,3,4,4-hexafluorobuta-1,3-diene",685-63-2,161.990,1.64,-,0.09,0.09,-,-,18,-,81 ,81 ,-,-,,
"1,1,1,2,3,3,3-heptafluoropropane",431-89-0,169.997,0.51,(0.62),0.76,0.76,0.58,(8.81),706,(709),7866 ,7832 ,34 ,(456),,
"1,2,3,4,5,6-hexafluorobenzene",392-56-3,185.990,0.57,(0.77),2.93,3.45,0.59,(15.15),365,(369),155 ,127 ,28 ,(114),,
"1,1,1,2,2,3,3,3-octafluoropropane",76-19-7,187.987,1.71,(2.15),0.60,0.60,0.55,(1.58),152,(153),1440 ,1398 ,42 ,(164),,
"1,1,2,2,3,3,4,4-octafluorocyclobutane",115-25-3,199.987,1.48,(1.57),0.88,1.01,0.61,(1.58),288,(290),178 ,121 ,57 ,(77),,
"1,1,1,2,2,3,3,4,4,4-decafluorobutane",355-25-9,237.984,1.05,(1.29),0.97,0.20,1.09,(4.71),324,(329),30 ,4 ,26 ,(46),,
"1,1,1,2,2,3,3,4,4,5,5,5-dodecafluoropentane",678-26-2,287.981,2.47,(3.51),1.81,1.63,2.09,(2.27),86,(87),87 ,54 ,33 ,(71),,
"1,1,1,2,2,3,3,4,4,5,5,6,6,6-tetradecafluorohexane",355-42-0,337.978,1.08,(1.29),1.33,1.35,0.83,-,171,(174),160 ,154 ,6 ,-,,
"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-hexadecafluoroheptane",335-57-9,387.974,1.48,(1.83),0.68,0.70,0.13,-,153,(156),58 ,56 ,2 ,-,,
"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-octadecafluorooctane",307-34-6,437.971,1.59,(5.37),1.64,1.87,1.05,-,136,(146),168 ,121 ,47 ,-,,
"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-icosafluorononane",375-96-2,487.968,5.44,(13.89),0.95,0.95,-,-,45,(56),139 ,139 ,-,-,,
"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-docosafluorodecane",307-45-9,537.965,5.23,(6.66),1.55,1.71,1.42,-,13,(14),20 ,9 ,11 ,-,,
chloro(difluoro)methane,75-45-6,85.973,0.53,-,0.24,0.24,0.25,(5.42),714,-,1069 ,921 ,148 ,(547),,
bromomethane,74-83-9,93.942,1.38,(1.49),0.12,0.09,0.16,-,155,(156),117 ,63 ,54 ,-,,
"2-chloro-1,1-difluoroethene",359-10-4,97.973,1.71,(21.53),0.84,0.15,0.98,(1.43),5,(6),12 ,2 ,10 ,(106),,
"1-chloro-1,1-difluoroethane",75-68-3,99.989,0.76,(2.07),0.40,0.36,0.45,(4.28),412,(425),220 ,124 ,96 ,(122),,
dichloro(fluoro)methane,75-43-4,101.944,0.78,(1.50),0.28,0.12,0.35,(3.96),100,(104),39 ,12 ,27 ,(557),,
chloro(trifluoro)methane,75-72-9,103.964,0.87,-,0.45,0.56,0.24,(2.69),182,-,288 ,192 ,96 ,(740),,
bromoethene,593-60-2,105.942,2.82,(4.12),1.09,0.85,1.22,-,118,(131),23 ,8 ,15 ,-,,
bromoethane,74-96-4,107.957,1.77,(2.98),0.65,0.67,0.22,-,172,(176),216 ,204 ,12 ,-,,
"1,1-dichloro-1-fluoroethane",1717-00-6,115.960,0.53,(3.74),0.26,0.28,0.18,(1.22),236,(252),624 ,540 ,84 ,(43),,
"1-chloro-1,2,2-trifluoroethene",79-38-9,115.964,1.56,(2.33),1.20,1.20,1.20,(19.99),59,(61),24 ,18 ,6 ,(48),,
dichloro(difluoro)methane,75-71-8,119.935,0.41,(0.53),0.34,0.36,0.27,(3.13),348,(350),392 ,284 ,108 ,(554),,
2-bromopropane,75-26-3,121.973,1.91,-,0.75,0.75,-,-,63,-,93 ,93 ,-,-,,
1-bromopropane,106-94-5,121.973,0.81,(1.38),0.60,0.61,0.23,-,92,(94),158 ,152 ,6 ,-,,
bromo(chloro)methane,74-97-5,127.903,1.10,-,0.06,0.06,-,-,27,-,68 ,68 ,-,-,,
trichloro(fluoro)methane,75-69-4,135.905,0.55,-,0.27,0.27,0.30,(5.57),297,-,808 ,705 ,103 ,(197),,
"2-chloro-1,1,1,2-tetrafluoroethane",2837-89-0,135.970,0.54,(1.10),0.27,0.28,0.13,(5.84),477,(481),1671 ,1592 ,79 ,(327),,
1-bromobutane,109-65-9,135.989,2.34,(8.11),0.40,0.40,0.29,-,142,(163),112 ,110 ,2 ,-,,
iodomethane,74-88-4,141.928,0.74,(1.49),0.18,0.18,0.06,-,221,(224),79 ,75 ,4 ,-,,
bromo(trifluoro)methane,75-63-8,147.914,0.72,(1.83),0.60,0.62,0.58,(4.11),198,(211),149 ,62 ,87 ,(148),,
"2,2-dichloro-1,1,1-trifluoroethane",306-83-2,151.941,0.52,(0.58),0.27,0.28,0.24,(3.39),664,(667),1044 ,932 ,112 ,(172),,
"1,2-dichloro-1,1,2-trifluoroethane",354-23-4,151.941,1.91,(3.07),0.42,0.41,0.44,-,136,(146),174 ,143 ,31 ,-,,
"1-chloro-1,1,2,2,2-pentafluoroethane",76-15-3,153.961,1.07,(1.15),0.28,0.26,0.31,(4.87),239,(241),45 ,29 ,16 ,(264),,
iodoethane,75-03-6,155.944,1.82,(2.92),0.22,0.22,-,-,168,(174),81 ,81 ,-,-,,
bromobenzene,108-86-1,155.957,1.35,(11.13),0.27,0.27,0.16,(7.65),521,(570),599 ,587 ,12 ,(26),,
bromo-chloro-difluoromethane,353-59-3,163.884,0.56,(0.89),0.39,0.30,0.42,-,71,(73),10 ,2 ,8 ,-,,
"1,2-dichloro-1,1,2,2-tetrafluoroethane",76-14-2,169.931,0.83,(0.85),0.34,0.38,0.29,(4.34),465,(466),274 ,170 ,104 ,(242),,
"1,1-dichloro-1,2,2,2-tetrafluoroethane",374-07-2,169.931,1.56,-,0.56,0.97,0.43,(2.98),6,-,17 ,4 ,13 ,(62),,
2-iodopropane,75-30-9,169.959,1.16,(4.21),0.29,0.29,-,-,20,(21),24 ,24 ,-,-,,
1-iodopropane,107-08-4,169.959,1.48,(10.98),0.17,0.17,-,-,27,(33),58 ,58 ,-,-,,
1-bromo-4-methylbenzene,106-38-7,169.973,3.75,(4.24),0.29,0.29,-,-,47,(48),29 ,29 ,-,-,,
dibromomethane,74-95-3,171.852,1.12,(1.30),0.16,0.16,0.00,-,56,(57),109 ,108 ,1 ,-,,
1-bromoheptane,629-04-9,178.036,4.00,(8.94),0.26,0.26,-,-,42,(53),65 ,65 ,-,-,,
1-chloro-4-(trifluoromethyl)benzene,98-56-6,179.995,1.66,-,2.32,2.32,-,-,43,-,6 ,6 ,-,-,,
1-iodobutane,542-69-8,183.975,4.65,(9.65),0.60,0.60,-,-,35,(44),77 ,77 ,-,-,,
"1,2-dibromoethane",106-93-4,185.868,1.54,(2.26),0.15,0.15,-,-,129,(134),69 ,69 ,-,-,,
"1,1,1-trichloro-2,2,2-trifluoroethane",354-58-5,185.902,0.90,-,0.12,0.12,-,-,40,-,13 ,13 ,-,-,,
"1,1,2-trichloro-1,2,2-trifluoroethane",76-13-1,185.902,1.39,(1.58),0.34,0.38,0.20,(2.28),332,(338),599 ,465 ,134 ,(315),,
bromo(trichloro)methane,75-62-7,195.825,1.75,-,2.98,2.98,-,-,39,-,50 ,50 ,-,-,,
"2-bromo-2-chloro-1,1,1-trifluoroethane",151-67-7,195.890,1.90,-,0.14,0.14,-,-,186,-,24 ,24 ,-,-,,
trifluoro(iodo)methane,2314-97-8,195.900,0.20,-,1.23,1.24,0.01,(0.57),115,-,121 ,120 ,1 ,(175),,
"1,3-dibromopropane",109-64-8,199.884,1.06,(3.75),0.27,0.27,-,-,243,(252),53 ,53 ,-,-,,
"1,2-dibromopropane",78-75-1,199.884,0.71,(3.35),0.35,0.35,-,-,281,(284),28 ,28 ,-,-,,
"1,1,2,2-tetrachloro-1,2-difluoroethane",76-12-0,201.872,2.37,(3.82),0.06,0.06,-,-,62,(67),15 ,15 ,-,-,,
iodobenzene,591-50-4,203.944,0.92,(43.86),0.38,0.41,0.12,(9.88),235,(263),84 ,75 ,9 ,(24),,
1-bromonaphthalene,90-11-9,205.973,3.32,(12.95),0.29,0.29,-,-,342,(428),37 ,37 ,-,-,,
dibromo(difluoro)methane,75-61-6,207.833,1.67,-,0.30,0.34,0.27,-,23,-,16 ,6 ,10 ,-,,
1-iodohexane,638-45-9,212.006,2.45,(6.18),0.34,0.38,0.04,-,53,(63),146 ,129 ,17 ,-,,
"1,4-dibromobenzene",106-37-6,233.868,1.02,(1.79),0.93,0.93,-,-,24,(25),21 ,21 ,-,-,,
"1,3-dibromobenzene",108-36-1,233.868,1.91,(5.85),0.11,0.11,-,-,27,(32),9 ,9 ,-,-,,
1-bromododecane,143-15-7,248.114,14.56,(18.69),0.48,0.48,-,-,28,(31),47 ,47 ,-,-,,
bromoform,75-25-2,249.763,1.39,(4.39),0.27,0.27,-,-,87,(101),34 ,34 ,-,-,,
"1,2-dibromo-1,1,2,2-tetrafluoroethane",124-73-2,257.830,1.25,-,0.37,0.35,0.42,(3.47),98,-,93 ,67 ,26 ,(168),,
diiodomethane,75-11-6,267.825,3.38,(5.20),0.18,0.18,-,-,32,(34),23 ,23 ,-,-,,
azane,7664-41-7,17.027,1.23,(1.40),1.42,1.38,1.70,(10.78),1082,(1093),879 ,775 ,104 ,(180),,
oxidane,7732-18-5,18.011,1.10,(1.18),2.21,2.23,0.76,(7.52),5870,(5896),6342 ,6244 ,98 ,(1827),,
fluorane,7664-39-3,20.006,4.81,(5.44),8.36,8.41,8.23,(22.26),277,(279),97 ,73 ,24 ,(360),,
carbon monoxide,630-08-0,27.995,1.97,(2.45),0.55,0.50,0.63,(0.38),220,(227),144 ,88 ,56 ,(9),,
nitric oxide,10102-43-9,29.998,9.11,(10.32),3.12,3.23,0.15,(0.41),157,(163),53 ,51 ,2 ,(92),,
hydrazine,302-01-2,32.037,1.84,(2.12),0.23,0.23,0.23,-,56,(57),28 ,10 ,18 ,-,,
sulfane,7783-06-4,33.988,1.08,(2.11),0.49,0.39,0.86,(8.82),373,(388),377 ,293 ,84 ,(758),,
phosphane,7803-51-2,33.997,1.57,(2.29),1.40,1.15,1.70,-,93,(98),20 ,11 ,9 ,-,,
hydrogen peroxide,7722-84-1,34.005,2.82,(3.20),0.22,0.22,-,-,96,(99),53 ,53 ,-,-,,
chlorane,7647-01-0,35.977,1.46,(2.09),0.73,0.54,0.90,(9.40),399,(421),121 ,55 ,66 ,(165),,
carbon dioxide,124-38-9,43.990,0.50,(0.61),0.48,0.48,0.46,(7.17),1535,(1549),818 ,679 ,139 ,(4133),,
nitrous oxide,10024-97-2,44.001,1.58,(3.39),0.64,0.41,0.94,(15.74),167,(184),97 ,55 ,42 ,(430),,
nitrogen dioxide,10102-44-0,45.993,9.55,-,1.63,1.92,0.85,(31.99),160,-,163 ,120 ,43 ,(281),,
ozone,10028-15-6,47.985,4.78,(12.17),0.34,0.47,0.26,-,61,(77),64 ,24 ,40 ,-,,
sulfanylidenemethanone,463-58-1,59.967,2.36,(6.53),1.32,1.26,1.70,(2.61),125,(137),269 ,232 ,37 ,(75),,
nitric acid,7697-37-2,62.996,3.42,(6.14),0.26,0.26,-,-,69,(79),4 ,4 ,-,-,,
sulfur dioxide,7446-09-5,63.962,1.14,(1.57),0.44,0.46,0.29,(7.33),405,(418),580 ,524 ,56 ,(544),,
nitrosyl chloride,2696-92-6,64.967,2.48,(4.15),1.35,1.21,1.42,-,87,(91),21 ,7 ,14 ,-,,
chlorine dioxide,10049-04-4,66.959,4.11,-,2.82,3.12,0.15,-,57,-,10 ,9 ,1 ,-,,
trifluoroborane,7637-07-2,68.005,2.14,(2.31),1.47,1.47,-,(3.97),67,(68),6 ,6 ,-,(86),,
nitrogen trifluoride,7783-54-2,70.998,3.69,(17.67),0.72,0.33,0.96,-,84,(106),62 ,24 ,38 ,-,,
arsane,7784-42-1,77.945,1.91,(4.67),0.98,0.50,1.11,-,92,(109),63 ,14 ,49 ,-,,
bromane,10035-10-6,79.926,3.24,(3.39),2.77,3.14,2.34,-,55,(56),41 ,22 ,19 ,-,,
sulfur trioxide,7446-11-9,79.957,8.29,(8.74),2.32,2.58,1.89,-,143,(148),18 ,11 ,7 ,-,,
selane,7783-07-5,81.932,1.74,(2.04),2.30,3.07,0.23,-,83,(84),11 ,8 ,3 ,-,,
dinitrogen tetroxide,10544-72-6,91.986,5.44,(5.33),2.87,2.90,2.68,(114.84),325,(332),150 ,130 ,20 ,(700),,
sulfurofluoridic acid,7789-21-1,99.963,7.85,(19.44),0.15,0.15,-,-,9,(11),10 ,10 ,-,-,,
chloro thiohypochlorite,10545-99-0,101.910,1.49,(2.93),0.32,0.32,-,-,16,(17),8 ,8 ,-,-,,
trichloroborane,10294-34-5,115.916,1.66,(3.84),0.55,0.55,-,-,32,(34),26 ,26 ,-,-,,
sulfurochloridic acid,7790-94-5,115.933,1.85,(7.34),0.17,0.17,-,-,10,(11),10 ,10 ,-,-,,
thionyl dichloride,7719-09-7,117.905,2.42,(38.38),0.18,0.18,-,-,24,(25),27 ,27 ,-,-,,
iodane,10034-85-2,127.912,2.11,(3.10),0.05,0.01,0.06,-,31,(32),22 ,7 ,15 ,-,,
sulfuryl dichloride,7791-25-5,133.900,0.85,-,0.11,0.11,-,-,137,-,14 ,14 ,-,-,,
trichlorophosphane,7719-12-2,135.880,3.41,(3.93),0.24,0.24,-,-,72,(76),37 ,37 ,-,-,,
hexafluoro-lambda6-sulfane,2551-62-4,145.962,0.44,-,0.74,0.76,0.55,(8.44),398,-,448 ,416 ,32 ,(1441),,
phosphoryl trichloride,10025-87-3,151.875,2.70,(4.98),0.54,0.55,0.01,-,59,(69),60 ,59 ,1 ,-,,
trichlorogallane,13450-90-3,173.832,2.28,(7.97),0.18,0.18,-,-,29,(37),16 ,16 ,-,-,,
oxovanadium;trihydrochloride,7727-18-6,173.872,7.06,(9.34),0.67,0.75,0.11,-,41,(43),8 ,7 ,1 ,-,,
trichloroarsane,7784-34-1,179.828,2.53,(2.83),0.40,0.40,0.01,-,77,(79),41 ,40 ,1 ,-,,
"[?titanium(+4) cation tetrachloride?,?tetrachlorotitanium?]",7550-45-0,187.823,4.52,(4.57),0.44,0.44,-,-,198,(200),15 ,15 ,-,-,,
tetrachlorovanadium,7632-51-1,189.823,2.47,(3.71),0.36,0.36,-,-,39,(43),6 ,6 ,-,-,,
tetrachlorogermane,10038-98-9,213.797,1.95,(5.00),0.33,0.33,-,-,122,(127),17 ,17 ,-,-,,
trichlorostibane,10025-91-9,225.810,8.56,(15.66),1.10,1.10,-,-,77,(97),8 ,8 ,-,-,,
tetrachlorostannane,7646-78-8,259.778,1.72,(2.15),0.81,1.06,0.36,(7.10),314,(325),52 ,34 ,18 ,(30),,
propan-2-one,67-64-1,58.042,0.96,(2.41),0.63,0.63,0.63,(4.06),1619,(1666),1943 ,1906 ,37 ,(443),,
but-3-en-2-one,78-94-4,70.042,2.03,(8.33),1.34,1.34,-,-,40,(45),25 ,25 ,-,-,,
butan-2-one,78-93-3,72.058,0.96,(1.13),0.43,0.43,-,(50.44),928,(939),852 ,852 ,-,(6),,
cyclopentanone,120-92-3,84.058,1.88,(2.63),0.08,0.08,-,-,191,(198),98 ,98 ,-,-,,
3-methylbut-3-en-2-one,814-78-8,84.058,2.19,(5.13),0.22,0.22,-,-,14,(18),11 ,11 ,-,-,,
"butane-2,3-dione",431-03-8,86.037,3.65,(3.98),0.48,0.48,-,-,78,(81),12 ,12 ,-,-,,
pentan-2-one,107-87-9,86.073,1.25,(2.51),0.47,0.47,-,-,298,(302),405 ,405 ,-,-,,
pentan-3-one,96-22-0,86.073,1.17,(2.13),0.29,0.29,-,-,258,(269),216 ,216 ,-,-,,
3-methylbutan-2-one,563-80-4,86.073,1.67,(4.49),0.37,0.37,-,-,187,(193),33 ,33 ,-,-,,
cyclohex-2-en-1-one,930-68-7,96.058,4.48,(29.49),0.35,0.35,-,-,86,(108),11 ,11 ,-,-,,
hex-5-en-2-one,109-49-9,98.073,2.48,(17.51),0.67,0.67,-,-,82,(88),20 ,20 ,-,-,,
4-methylpent-3-en-2-one,141-79-7,98.073,2.45,(4.27),0.29,0.29,-,-,108,(117),13 ,13 ,-,-,,
3-methylcyclopentan-1-one,1757-42-2,98.073,3.95,(4.89),0.47,0.47,-,-,21,(22),30 ,30 ,-,-,,
cyclohexanone,108-94-1,98.073,1.54,(6.24),0.23,0.23,0.31,-,316,(375),466 ,459 ,7 ,-,,
"pentane-2,4-dione",123-54-6,100.052,3.89,(10.65),0.35,0.35,-,-,288,(308),152 ,152 ,-,-,,
hexan-2-one,591-78-6,100.089,1.74,(5.58),0.40,0.40,-,-,149,(161),170 ,170 ,-,-,,
4-methylpentan-2-one,108-10-1,100.089,0.96,(1.56),0.18,0.18,-,-,449,(460),292 ,292 ,-,-,,
hexan-3-one,589-38-8,100.089,0.55,(10.47),0.11,0.11,-,-,87,(89),15 ,15 ,-,-,,
3-methylpentan-2-one,565-61-7,100.089,2.33,(2.96),0.38,0.38,-,-,14,(15),11 ,11 ,-,-,,
"3,3-dimethylbutan-2-one",75-97-8,100.089,4.35,(4.59),4.86,5.11,0.95,-,151,(154),33 ,31 ,2 ,-,,
heptan-2-one,110-43-0,114.104,1.34,(13.34),0.55,0.55,0.00,-,173,(200),126 ,125 ,1 ,-,,
5-methylhexan-2-one,110-12-3,114.104,2.40,(7.19),2.89,2.89,-,-,22,(24),12 ,12 ,-,-,,
heptan-3-one,106-35-4,114.104,3.22,(44.66),0.11,0.11,-,-,48,(58),24 ,24 ,-,-,,
"2,4-dimethylpentan-3-one",565-80-0,114.104,3.10,(5.86),0.20,0.20,-,-,112,(119),17 ,17 ,-,-,,
heptan-4-one,123-19-3,114.104,2.64,(19.48),0.53,0.53,-,-,64,(80),82 ,82 ,-,-,,
1-phenylethanone,98-86-2,120.058,1.36,(46.18),0.23,0.23,0.18,-,464,(533),195 ,188 ,7 ,-,,
1-cyclohexylethanone,823-76-7,126.104,7.81,(15.19),0.46,0.46,-,-,51,(64),22 ,22 ,-,-,,
octan-2-one,111-13-7,128.120,5.20,(14.22),0.43,0.43,-,-,102,(128),323 ,323 ,-,-,,
octan-3-one,106-68-3,128.120,5.56,(31.45),0.36,0.36,-,-,31,(39),35 ,35 ,-,-,,
"3,5,5-trimethylcyclohex-2-en-1-one",78-59-1,138.104,6.27,(13.96),0.53,0.53,-,-,128,(160),19 ,19 ,-,-,,
nonan-2-one,821-55-6,142.136,1.61,(7.75),0.78,0.78,-,-,118,(131),167 ,167 ,-,-,,
nonan-5-one,502-56-7,142.136,1.46,(9.20),0.18,0.18,-,-,111,(120),20 ,20 ,-,-,,
nonan-3-one,925-78-0,142.136,3.91,(5.30),0.25,0.25,-,-,25,(26),24 ,24 ,-,-,,
"2,6-dimethylheptan-4-one",108-83-8,142.136,3.16,(14.38),0.16,0.16,-,-,57,(72),16 ,16 ,-,-,,
undecan-6-one,927-49-1,170.167,3.38,(14.76),0.31,0.31,-,-,48,(61),29 ,29 ,-,-,,
2-(cyclohexen-1-yl)cyclohexan-1-one,1502-22-3,178.136,11.23,(61.71),0.36,0.36,-,-,67,(84),16 ,16 ,-,-,,
2-cyclohexylcyclohexan-1-one,90-42-6,180.151,6.86,(8.72),0.31,0.31,-,-,15,(16),5 ,5 ,-,-,,
diphenylmethanone,119-61-9,182.073,1.00,(6.83),0.31,0.31,-,-,269,(275),58 ,58 ,-,-,,
formonitrile,74-90-8,27.011,4.43,(4.49),1.20,1.23,0.63,-,343,(344),115 ,109 ,6 ,-,,
acetonitrile,75-05-8,41.027,1.98,(2.18),1.45,1.47,0.79,(6.63),846,(852),1426 ,1377 ,49 ,(106),,
oxalonitrile,460-19-5,52.006,1.28,(2.58),0.68,0.14,0.96,-,160,(176),3 ,1 ,2 ,-,,
prop-2-enenitrile,107-13-1,53.027,2.75,(5.89),0.71,0.71,-,-,186,(228),162 ,162 ,-,-,,
propanenitrile,107-12-0,55.042,3.19,(3.73),0.87,0.90,0.44,-,256,(261),251 ,233 ,18 ,-,,
2-hydroxyacetonitrile,107-16-4,57.021,14.05,(15.58),0.38,0.38,-,-,13,(14),3 ,3 ,-,-,,
cyclopropanecarbonitrile,5500-21-0,67.042,2.04,(4.13),0.47,0.47,-,-,37,(42),3 ,3 ,-,-,,
(z)-but-2-enenitrile,1190-76-7,67.042,0.51,-,0.05,0.05,-,-,24,-,5 ,5 ,-,-,,
but-3-enenitrile,109-75-1,67.042,0.51,(3.50),0.21,0.21,-,-,58,(60),16 ,16 ,-,-,,
2-methylprop-2-enenitrile,126-98-7,67.042,1.70,(4.98),0.73,0.73,-,-,24,(26),33 ,33 ,-,-,,
butanenitrile,109-74-0,69.058,1.24,(1.35),0.58,0.58,-,-,191,(193),262 ,262 ,-,-,,
2-methylpropanenitrile,78-82-0,69.058,1.59,(1.99),0.07,0.07,-,-,48,(50),19 ,19 ,-,-,,
3-hydroxypropanenitrile,109-78-4,71.037,3.68,(23.28),0.31,0.31,-,-,51,(64),19 ,19 ,-,-,,
2-hydroxypropanenitrile,78-97-7,71.037,13.25,(18.54),0.20,0.20,-,-,16,(18),16 ,16 ,-,-,,
pentanenitrile,110-59-8,83.073,1.22,(3.37),0.25,0.25,-,-,112,(117),101 ,101 ,-,-,,
3-methoxypropanenitrile,110-67-8,85.053,2.22,(2.35),0.27,0.27,-,-,92,(93),14 ,14 ,-,-,,
pentanedinitrile,544-13-8,94.053,2.89,(10.57),0.73,0.73,-,-,17,(22),41 ,41 ,-,-,,
hexanenitrile,628-73-9,97.089,1.57,(4.08),0.30,0.30,-,-,119,(134),75 ,75 ,-,-,,
benzonitrile,100-47-0,103.042,4.08,(28.56),0.27,0.27,-,-,240,(301),280 ,280 ,-,-,,
hexanedinitrile,111-69-3,108.069,5.50,(51.97),0.36,0.36,-,-,27,(34),20 ,20 ,-,-,,
2-methylpentanedinitrile,4553-62-2,108.069,5.82,(7.71),0.18,0.18,-,-,10,(11),4 ,4 ,-,-,,
2-phenylacetonitrile,140-29-4,117.058,3.07,(9.29),0.34,0.34,-,-,40,(48),63 ,63 ,-,-,,
ammonia-d3,13550-49-7,17.027,0.27,(0.31),0.09,0.13,0.04,-,231,(232),20 ,12 ,8 ,-,,
tritium oxide,14940-65-9,18.011,0.18,-,0.79,0.79,-,-,7,-,40 ,40 ,-,-,,
"1,1,2,2-tetradeuterioethene",683-73-8,28.031,0.54,-,0.24,0.24,-,-,43,-,35 ,35 ,-,-,,
deuteriooxymethane,1455-13-6,32.026,1.25,-,0.29,0.29,-,-,126,-,22 ,22 ,-,-,,
(2h2)sulfane,13536-94-2,33.988,0.29,-,0.21,0.17,0.27,-,59,-,38 ,22 ,16 ,-,,
methylhydrazine,60-34-4,46.053,2.25,(3.76),0.58,0.58,-,-,25,(28),12 ,12 ,-,-,,
(e)-but-2-ene,107-01-7,56.063,1.14,(1.48),0.17,-,0.17,-,27,(28),35 ,-,35 ,-,,
methylimino(oxo)methane,624-83-9,57.021,1.71,-,0.79,0.79,-,-,53,-,7 ,7 ,-,-,,
"deuterio2,2,2-trideuterioacetate",1186-52-3,60.021,0.20,-,0.07,0.07,-,(29.23),28,-,19 ,19 ,-,(63),,
"1,1-dimethylhydrazine",57-14-7,60.069,1.55,-,0.25,0.25,-,-,17,-,5 ,5 ,-,-,,
nitromethane,75-52-5,61.016,0.91,(2.43),0.43,0.43,0.00,-,232,(234),176 ,175 ,1 ,-,,
(e)-but-2-enal,4170-30-3,70.042,3.31,(3.91),1.50,1.33,1.64,-,130,(134),9 ,4 ,5 ,-,,
cyclobutanone,1191-95-3,70.042,0.81,(1.56),0.12,0.12,-,-,26,(27),13 ,13 ,-,-,,
(e)-pent-2-ene,109-68-2,70.078,2.39,(2.74),0.22,0.22,-,-,25,(26),4 ,4 ,-,-,,
trimethylalumane,75-24-1,72.052,2.84,(2.97),1.52,1.52,-,-,91,(92),20 ,20 ,-,-,,
propanamide,79-05-0,73.053,1.43,-,0.78,0.78,-,-,13,-,5 ,5 ,-,-,,
"1,3-dioxolane",646-06-0,74.037,1.79,(2.10),0.07,0.07,-,-,138,(142),73 ,73 ,-,-,,
1-nitroethane,79-24-3,75.032,1.68,(2.07),0.18,0.18,-,-,75,(77),68 ,68 ,-,-,,
2-fluoroacetic acid,144-49-0,78.012,1.24,(4.17),0.09,0.09,-,-,27,(29),7 ,7 ,-,-,,
"1,2,3,4,5,6-hexadeuteriobenzene",1076-43-3,78.047,1.31,(1.96),0.30,0.30,-,-,136,(140),23 ,23 ,-,-,,
"cis,anti,cis-tricyclo[3.1.0.02,4]hexane",21531-33-9,80.063,0.16,-,0.10,0.10,-,-,10,-,8 ,8 ,-,-,,
"1,3,5,2,4,6-triazatriborinane",6569-51-3,81.084,0.84,-,0.09,0.09,-,-,20,-,8 ,8 ,-,-,,
"1,1,2-trifluoroethene",359-11-5,82.003,6.68,(7.09),8.27,8.85,4.25,(3.12),59,(60),71 ,62 ,9 ,(45),,
2-methylfuran,534-22-5,82.042,1.19,-,0.33,0.33,-,-,174,-,271 ,271 ,-,-,,
1-methylimidazole,616-47-7,82.053,10.97,-,0.19,0.19,-,-,38,-,37 ,37 ,-,-,,
"2,2-dimethylpropanenitrile",630-18-2,83.073,0.46,-,0.08,0.08,-,-,30,-,6 ,6 ,-,-,,
1-cyclopropylethanone,765-43-5,84.058,1.21,-,0.06,0.06,-,-,32,-,13 ,13 ,-,-,,
prop-2-enyl formate,1838-59-1,86.037,1.04,(2.55),0.17,0.17,-,-,9,(10),41 ,41 ,-,-,,
2-methylbut-3-en-2-ol,115-18-4,86.073,2.31,(5.22),0.07,0.07,-,-,115,(136),7 ,7 ,-,-,,
cyclopentanol,96-41-3,86.073,1.31,(3.02),0.20,0.20,-,-,96,(106),95 ,95 ,-,-,,
isothiocyanatoethane,542-85-8,87.014,2.10,-,0.29,0.29,-,-,23,-,11 ,11 ,-,-,,
n-methylpropanamide,1187-58-2,87.068,8.44,(11.65),0.16,0.16,-,-,24,(25),15 ,15 ,-,-,,
n-ethylacetamide,625-50-3,87.068,2.15,(3.71),0.29,0.29,-,-,21,(24),5 ,5 ,-,-,,
"1,3-dioxolan-2-one",96-49-1,88.016,2.85,(7.65),0.17,0.17,-,-,171,(214),21 ,21 ,-,-,,
"n?-methylpropane-1,3-diamine",6291-84-5,88.100,2.24,(3.38),0.34,0.34,-,-,103,(110),23 ,23 ,-,-,,
1-nitropropane,108-03-2,89.048,1.12,(1.31),0.15,0.15,-,-,48,(49),36 ,36 ,-,-,,
2-nitropropane,79-46-9,89.048,1.81,(2.55),0.16,0.16,-,-,59,(60),29 ,29 ,-,-,,
2-(ethylamino)ethanol,110-73-6,89.084,1.61,-,0.27,0.27,-,-,69,-,41 ,41 ,-,-,,
dimethyl carbonate,616-38-6,90.032,0.98,(1.31),0.23,0.23,-,-,409,(413),735 ,735 ,-,-,,
2-hydroperoxy-2-methylpropane,75-91-2,90.068,11.29,(22.74),3.41,3.41,-,-,54,(68),10 ,10 ,-,-,,
1-fluoropentane,592-50-7,90.084,2.72,-,0.15,0.15,-,-,15,-,8 ,8 ,-,-,,
ethyl nitrate,625-58-1,91.027,0.80,-,0.12,0.12,-,-,27,-,12 ,12 ,-,-,,
chloro(dimethyl)alumane,1184-58-3,91.997,3.03,(6.80),0.40,0.40,-,-,22,(27),3 ,3 ,-,-,,
